##DateTime MemTotal: MemFree: MemAvailable: Cached:  ION_total 
04-05-2018_15-46-01 2803616 49712 862872 814728 114248 
04-05-2018_15-46-02 2803616 50004 863304 814828 114248 
04-05-2018_15-46-02 2803616 49604 862904 814828 114248 
04-05-2018_15-46-03 2803616 50396 863796 814836 114248 
04-05-2018_15-46-04 2803616 49748 863184 814836 114248 
04-05-2018_15-46-04 2803616 48772 862216 814844 114248 
04-05-2018_15-46-05 2803616 61816 875264 814848 114248 
04-05-2018_15-46-06 2803616 84688 898208 814736 114248 
04-05-2018_15-46-07 2803616 85280 898832 814768 114248 
04-05-2018_15-46-07 2803616 84744 898296 814768 114248 
04-05-2018_15-46-08 2803616 83588 897140 814768 114248 
04-05-2018_15-46-09 2803616 84268 897884 814832 114248 
04-05-2018_15-46-09 2803616 84812 898428 814832 114248 
04-05-2018_15-46-10 2803616 91284 904940 814836 151188 
04-05-2018_15-46-11 2803616 81824 896588 815876 151188 
04-05-2018_15-46-11 2803616 85764 900720 816028 123432 
04-05-2018_15-46-12 2803616 85148 900248 816152 132616 
04-05-2018_15-46-13 2803616 85792 901100 816312 123432 
04-05-2018_15-46-13 2803616 85900 901268 816344 160372 
04-05-2018_15-46-14 2803616 80372 896596 817124 151188 
04-05-2018_15-46-15 2803616 68580 885408 817664 123432 
04-05-2018_15-46-16 2803616 67544 884552 817788 160372 
04-05-2018_15-46-16 2803616 78532 895608 817792 160372 
04-05-2018_15-46-17 2803616 69036 887488 819140 132616 
04-05-2018_15-46-18 2803616 68232 886684 819140 169556 
04-05-2018_15-46-18 2803616 58328 877180 819360 160236 
04-05-2018_15-46-19 2803616 68540 887516 819396 141800 
04-05-2018_15-46-20 2803616 68692 887788 819452 160236 
04-05-2018_15-46-21 2803616 67032 886260 819528 141800 
04-05-2018_15-46-21 2803616 66520 885748 819528 141800 
04-05-2018_15-46-22 2803616 63280 882624 819624 187924 
04-05-2018_15-46-23 2803616 36964 850956 815848 178740 
04-05-2018_15-46-23 2803616 35384 849388 815848 187924 
04-05-2018_15-46-24 2803616 73144 866184 795996 187924 
04-05-2018_15-46-25 2803616 60112 853404 796212 160168 
04-05-2018_15-46-25 2803616 55656 848948 796212 197108 
04-05-2018_15-46-26 2803616 51428 845776 797060 197108 
04-05-2018_15-46-27 2803616 51084 845512 797268 169352 
04-05-2018_15-46-28 2803616 50660 845088 797268 206292 
04-05-2018_15-46-28 2803616 39752 833604 796636 206292 
04-05-2018_15-46-29 2803616 38256 832140 796668 178536 
04-05-2018_15-46-30 2803616 63028 857096 796804 178536 
04-05-2018_15-46-30 2803616 63352 857560 796932 178536 
