##DateTime MemTotal: MemFree: Cached: 
02-05-2018_10-28-41 2803616 47320 399384 
02-05-2018_10-28-41 2803616 47468 399384 
02-05-2018_10-28-42 2803616 47152 399384 
02-05-2018_10-28-43 2803616 48660 399384 
02-05-2018_10-28-43 2803616 48244 399384 
02-05-2018_10-28-44 2803616 48200 399416 
02-05-2018_10-28-44 2803616 48500 399444 
02-05-2018_10-28-45 2803616 48516 399444 
02-05-2018_10-28-46 2803616 48268 399444 
02-05-2018_10-28-46 2803616 48464 399444 
02-05-2018_10-28-47 2803616 48620 399460 
02-05-2018_10-28-48 2803616 48240 400208 
02-05-2018_10-28-48 2803616 47568 400208 
02-05-2018_10-28-49 2803616 47804 400240 
02-05-2018_10-28-49 2803616 47556 400240 
02-05-2018_10-28-50 2803616 47300 400240 
02-05-2018_10-28-51 2803616 47556 400240 
02-05-2018_10-28-51 2803616 47836 400240 
02-05-2018_10-28-52 2803616 47560 400260 
02-05-2018_10-28-53 2803616 46792 400412 
02-05-2018_10-28-53 2803616 47048 400412 
02-05-2018_10-28-54 2803616 46552 400412 
02-05-2018_10-28-54 2803616 46072 401148 
02-05-2018_10-28-55 2803616 45872 401220 
02-05-2018_10-28-56 2803616 48240 401220 
02-05-2018_10-28-56 2803616 48076 401220 
02-05-2018_10-28-57 2803616 48140 401220 
02-05-2018_10-28-58 2803616 47772 401440 
02-05-2018_10-28-58 2803616 47264 401440 
02-05-2018_10-28-59 2803616 47252 401440 
02-05-2018_10-28-59 2803616 47244 401532 
02-05-2018_10-29-00 2803616 47056 401532 
02-05-2018_10-29-01 2803616 47424 401532 
02-05-2018_10-29-01 2803616 47564 401532 
02-05-2018_10-29-02 2803616 47692 401532 
02-05-2018_10-29-03 2803616 47172 401532 
02-05-2018_10-29-03 2803616 47168 401532 
02-05-2018_10-29-04 2803616 47304 401532 
02-05-2018_10-29-04 2803616 47284 401536 
02-05-2018_10-29-05 2803616 47152 401536 
02-05-2018_10-29-06 2803616 44700 403496 
02-05-2018_10-29-06 2803616 44452 403496 
02-05-2018_10-29-07 2803616 44080 403820 
02-05-2018_10-29-07 2803616 43212 403820 
02-05-2018_10-29-08 2803616 43088 403820 
02-05-2018_10-29-09 2803616 43212 403820 
02-05-2018_10-29-09 2803616 42716 403820 
02-05-2018_10-29-10 2803616 42964 403820 
02-05-2018_10-29-11 2803616 42872 403848 
02-05-2018_10-29-11 2803616 42996 403880 
02-05-2018_10-29-12 2803616 43400 403880 
02-05-2018_10-29-12 2803616 42656 403880 
02-05-2018_10-29-13 2803616 42408 403880 
02-05-2018_10-29-14 2803616 42692 403880 
02-05-2018_10-29-14 2803616 42276 404212 
02-05-2018_10-29-15 2803616 41888 404212 
02-05-2018_10-29-16 2803616 41996 404212 
02-05-2018_10-29-16 2803616 41856 404212 
02-05-2018_10-29-17 2803616 41632 404244 
02-05-2018_10-29-17 2803616 40880 404256 
02-05-2018_10-29-18 2803616 41004 404256 
02-05-2018_10-29-19 2803616 40756 404344 
02-05-2018_10-29-19 2803616 40580 404388 
02-05-2018_10-29-20 2803616 40828 404388 
02-05-2018_10-29-21 2803616 41004 404388 
02-05-2018_10-29-21 2803616 41128 404388 
02-05-2018_10-29-22 2803616 41500 404388 
02-05-2018_10-29-22 2803616 40384 404388 
02-05-2018_10-29-23 2803616 40472 404388 
02-05-2018_10-29-24 2803616 40692 404480 
02-05-2018_10-29-24 2803616 40248 404480 
02-05-2018_10-29-25 2803616 39784 405688 
02-05-2018_10-29-25 2803616 39040 405688 
02-05-2018_10-29-26 2803616 39412 405688 
02-05-2018_10-29-27 2803616 39412 405688 
02-05-2018_10-29-27 2803616 38792 405688 
02-05-2018_10-29-28 2803616 38700 405688 
02-05-2018_10-29-29 2803616 38328 405688 
02-05-2018_10-29-29 2803616 38700 405688 
02-05-2018_10-29-30 2803616 38900 405720 
02-05-2018_10-29-30 2803616 38704 405720 
02-05-2018_10-29-31 2803616 38084 405720 
02-05-2018_10-29-32 2803616 36884 407440 
02-05-2018_10-29-32 2803616 36216 407440 
02-05-2018_10-29-33 2803616 36000 407440 
02-05-2018_10-29-34 2803616 35752 407440 
02-05-2018_10-29-34 2803616 36488 407444 
02-05-2018_10-29-35 2803616 35716 407668 
02-05-2018_10-29-35 2803616 35268 407700 
02-05-2018_10-29-36 2803616 37136 402336 
02-05-2018_10-29-37 2803616 37808 405716 
02-05-2018_10-29-37 2803616 37488 398520 
02-05-2018_10-29-38 2803616 37056 397884 
02-05-2018_10-29-38 2803616 35952 398000 
02-05-2018_10-29-39 2803616 37648 397612 
02-05-2018_10-29-40 2803616 37848 397612 
02-05-2018_10-29-40 2803616 37796 397616 
02-05-2018_10-29-41 2803616 37036 397616 
02-05-2018_10-29-42 2803616 36384 397616 
02-05-2018_10-29-42 2803616 35364 397892 
02-05-2018_10-29-43 2803616 37756 396808 
02-05-2018_10-29-43 2803616 37932 396872 
02-05-2018_10-29-44 2803616 38596 396872 
02-05-2018_10-29-45 2803616 38288 396872 
02-05-2018_10-29-45 2803616 38108 396872 
02-05-2018_10-29-46 2803616 38368 396872 
02-05-2018_10-29-47 2803616 38292 396872 
02-05-2018_10-29-47 2803616 38024 396872 
02-05-2018_10-29-48 2803616 45208 387828 
02-05-2018_10-29-49 2803616 39556 377876 
02-05-2018_10-29-49 2803616 39880 377880 
02-05-2018_10-29-50 2803616 40464 386140 
02-05-2018_10-29-50 2803616 35372 388024 
02-05-2018_10-29-51 2803616 37324 383564 
02-05-2018_10-29-52 2803616 36904 383032 
02-05-2018_10-29-52 2803616 37528 383472 
02-05-2018_10-29-53 2803616 37360 383552 
02-05-2018_10-29-54 2803616 37676 383580 
02-05-2018_10-29-54 2803616 36836 383580 
02-05-2018_10-29-55 2803616 37080 383480 
02-05-2018_10-29-55 2803616 36808 383768 
02-05-2018_10-29-56 2803616 36684 383784 
02-05-2018_10-29-57 2803616 36204 383820 
02-05-2018_10-29-57 2803616 36112 383884 
02-05-2018_10-29-58 2803616 36236 383884 
02-05-2018_10-29-59 2803616 35736 383884 
02-05-2018_10-29-59 2803616 36600 383884 
02-05-2018_10-30-00 2803616 36104 383884 
02-05-2018_10-30-00 2803616 35732 383888 
02-05-2018_10-30-01 2803616 43220 381324 
02-05-2018_10-30-02 2803616 41704 378628 
02-05-2018_10-30-02 2803616 39328 379448 
02-05-2018_10-30-03 2803616 46988 381792 
02-05-2018_10-30-04 2803616 35216 389736 
02-05-2018_10-30-04 2803616 36284 387332 
02-05-2018_10-30-05 2803616 47684 336896 
02-05-2018_10-30-05 2803616 42200 340464 
02-05-2018_10-30-06 2803616 47900 319216 
02-05-2018_10-30-07 2803616 44228 327344 
02-05-2018_10-30-07 2803616 72440 330164 
02-05-2018_10-30-08 2803616 60404 338316 
02-05-2018_10-30-09 2803616 44520 350740 
02-05-2018_10-30-09 2803616 44024 350740 
02-05-2018_10-30-10 2803616 44540 350744 
02-05-2018_10-30-11 2803616 44148 350744 
02-05-2018_10-30-11 2803616 66460 350860 
02-05-2018_10-30-12 2803616 79352 351852 
02-05-2018_10-30-12 2803616 79168 351884 
02-05-2018_10-30-13 2803616 80104 351884 
02-05-2018_10-30-14 2803616 79560 351888 
02-05-2018_10-30-14 2803616 80312 351888 
02-05-2018_10-30-15 2803616 80484 351888 
02-05-2018_10-30-16 2803616 80468 351888 
02-05-2018_10-30-16 2803616 80072 351892 
02-05-2018_10-30-17 2803616 79532 352488 
02-05-2018_10-30-17 2803616 78408 352488 
02-05-2018_10-30-18 2803616 78604 352488 
02-05-2018_10-30-19 2803616 78208 352548 
02-05-2018_10-30-19 2803616 78020 352548 
02-05-2018_10-30-20 2803616 78252 352548 
02-05-2018_10-30-20 2803616 78112 352544 
02-05-2018_10-30-21 2803616 77580 352544 
02-05-2018_10-30-22 2803616 75476 352940 
02-05-2018_10-30-22 2803616 76556 353316 
02-05-2018_10-30-23 2803616 75996 353316 
02-05-2018_10-30-24 2803616 76044 353408 
02-05-2018_10-30-24 2803616 76312 353408 
02-05-2018_10-30-25 2803616 76080 353440 
02-05-2018_10-30-25 2803616 75428 353440 
02-05-2018_10-30-26 2803616 68788 354316 
02-05-2018_10-30-27 2803616 68028 354352 
02-05-2018_10-30-27 2803616 67528 354352 
02-05-2018_10-30-28 2803616 67764 354352 
02-05-2018_10-30-29 2803616 67156 354700 
02-05-2018_10-30-29 2803616 66764 354704 
02-05-2018_10-30-30 2803616 67316 354704 
02-05-2018_10-30-30 2803616 67120 354704 
02-05-2018_10-30-31 2803616 66656 354764 
02-05-2018_10-30-32 2803616 66768 354764 
02-05-2018_10-30-32 2803616 66404 354764 
02-05-2018_10-30-33 2803616 66032 354764 
02-05-2018_10-30-34 2803616 65824 354980 
02-05-2018_10-30-34 2803616 65660 354980 
02-05-2018_10-30-35 2803616 63412 357652 
02-05-2018_10-30-35 2803616 37228 380908 
02-05-2018_10-30-36 2803616 40804 377616 
02-05-2018_10-30-37 2803616 38020 384644 
02-05-2018_10-30-37 2803616 36020 374672 
02-05-2018_10-30-38 2803616 36716 376120 
02-05-2018_10-30-38 2803616 35492 376788 
02-05-2018_10-30-39 2803616 37416 376028 
02-05-2018_10-30-40 2803616 36556 372904 
02-05-2018_10-30-40 2803616 37244 355432 
02-05-2018_10-30-41 2803616 36664 355444 
02-05-2018_10-30-42 2803616 51088 354332 
02-05-2018_10-30-42 2803616 50988 354440 
02-05-2018_10-30-43 2803616 42528 362132 
02-05-2018_10-30-44 2803616 36028 359508 
02-05-2018_10-30-44 2803616 36716 359508 
02-05-2018_10-30-45 2803616 37276 359508 
02-05-2018_10-30-45 2803616 37136 359796 
02-05-2018_10-30-46 2803616 37052 358096 
02-05-2018_10-30-47 2803616 36064 356048 
02-05-2018_10-30-47 2803616 36356 351960 
02-05-2018_10-30-48 2803616 35496 345188 
02-05-2018_10-30-49 2803616 65416 341392 
02-05-2018_10-30-49 2803616 63504 343372 
02-05-2018_10-30-50 2803616 55996 347208 
02-05-2018_10-30-51 2803616 45692 349992 
02-05-2018_10-30-51 2803616 49260 352476 
02-05-2018_10-30-52 2803616 37104 344576 
02-05-2018_10-30-53 2803616 47072 336344 
02-05-2018_10-30-53 2803616 66928 342224 
02-05-2018_10-30-54 2803616 55980 346352 
02-05-2018_10-30-55 2803616 31772 349668 
02-05-2018_10-30-55 2803616 36312 342592 
02-05-2018_10-30-56 2803616 36752 349464 
02-05-2018_10-30-57 2803616 39016 335472 
02-05-2018_10-30-57 2803616 53404 323256 
02-05-2018_10-30-58 2803616 68292 335652 
02-05-2018_10-30-59 2803616 64292 337360 
02-05-2018_10-30-59 2803616 59760 339352 
02-05-2018_10-31-00 2803616 75844 345628 
02-05-2018_10-31-01 2803616 68132 357008 
02-05-2018_10-31-01 2803616 46012 358424 
02-05-2018_10-31-02 2803616 37272 364120 
02-05-2018_10-31-03 2803616 41336 380672 
02-05-2018_10-31-03 2803616 36568 383920 
02-05-2018_10-31-04 2803616 36840 383856 
02-05-2018_10-31-04 2803616 39084 384764 
02-05-2018_10-31-05 2803616 39136 375044 
02-05-2018_10-31-06 2803616 41348 375408 
02-05-2018_10-31-06 2803616 35988 372348 
02-05-2018_10-31-07 2803616 35808 371744 
02-05-2018_10-31-07 2803616 35680 364172 
02-05-2018_10-31-08 2803616 45616 348392 
02-05-2018_10-31-09 2803616 58356 350828 
02-05-2018_10-31-09 2803616 53652 350860 
02-05-2018_10-31-10 2803616 42436 351988 
02-05-2018_10-31-11 2803616 58164 356564 
02-05-2018_10-31-11 2803616 41840 364364 
02-05-2018_10-31-12 2803616 35592 364344 
02-05-2018_10-31-12 2803616 45584 364760 
02-05-2018_10-31-13 2803616 48380 364768 
02-05-2018_10-31-14 2803616 47856 364800 
02-05-2018_10-31-14 2803616 48488 364804 
02-05-2018_10-31-15 2803616 49080 364808 
02-05-2018_10-31-16 2803616 48456 364808 
02-05-2018_10-31-16 2803616 36112 365008 
02-05-2018_10-31-17 2803616 37564 349640 
02-05-2018_10-31-17 2803616 36824 342540 
02-05-2018_10-31-18 2803616 35972 342700 
02-05-2018_10-31-19 2803616 38452 339648 
02-05-2018_10-31-19 2803616 38952 339648 
02-05-2018_10-31-20 2803616 39284 339652 
02-05-2018_10-31-20 2803616 38524 339660 
02-05-2018_10-31-21 2803616 39600 339660 
02-05-2018_10-31-22 2803616 39724 339664 
02-05-2018_10-31-22 2803616 48116 344372 
02-05-2018_10-31-23 2803616 37068 337264 
02-05-2018_10-31-24 2803616 38892 327800 
02-05-2018_10-31-24 2803616 44780 328292 
02-05-2018_10-31-25 2803616 40228 329032 
02-05-2018_10-31-25 2803616 38048 319972 
02-05-2018_10-31-26 2803616 43452 322984 
02-05-2018_10-31-27 2803616 50380 319168 
02-05-2018_10-31-27 2803616 48292 319664 
02-05-2018_10-31-28 2803616 48092 319668 
02-05-2018_10-31-29 2803616 40200 320324 
02-05-2018_10-31-29 2803616 39004 321420 
02-05-2018_10-31-30 2803616 54556 319428 
02-05-2018_10-31-30 2803616 48240 322316 
02-05-2018_10-31-31 2803616 37368 317872 
02-05-2018_10-31-32 2803616 34952 308532 
02-05-2018_10-31-32 2803616 58756 300536 
02-05-2018_10-31-33 2803616 54620 301468 
02-05-2018_10-31-33 2803616 64564 302328 
02-05-2018_10-31-34 2803616 41868 335048 
02-05-2018_10-31-35 2803616 35348 339436 
02-05-2018_10-31-35 2803616 28004 308880 
02-05-2018_10-31-36 2803616 49940 296180 
02-05-2018_10-31-37 2803616 49984 297348 
02-05-2018_10-31-37 2803616 41644 310360 
02-05-2018_10-31-38 2803616 34584 305896 
02-05-2018_10-31-39 2803616 53808 265516 
02-05-2018_10-31-39 2803616 36264 275096 
02-05-2018_10-31-40 2803616 37828 248280 
02-05-2018_10-31-40 2803616 34140 266548 
02-05-2018_10-31-41 2803616 39716 274552 
02-05-2018_10-31-42 2803616 14732 285452 
02-05-2018_10-31-42 2803616 8112 295332 
02-05-2018_10-31-43 2803616 45164 285132 
02-05-2018_10-31-44 2803616 124328 287936 
02-05-2018_10-31-44 2803616 125512 293204 
02-05-2018_10-31-45 2803616 98976 311168 
02-05-2018_10-31-46 2803616 98976 311168 
02-05-2018_10-31-46 2803616 77500 325556 
02-05-2018_10-31-47 2803616 36956 355332 
02-05-2018_10-31-48 2803616 36376 353452 
02-05-2018_10-31-48 2803616 37140 345392 
02-05-2018_10-31-49 2803616 36352 344300 
02-05-2018_10-31-49 2803616 54540 336260 
02-05-2018_10-31-50 2803616 51424 337544 
02-05-2018_10-31-51 2803616 48096 337872 
02-05-2018_10-31-51 2803616 46548 340308 
02-05-2018_10-31-52 2803616 37328 341552 
02-05-2018_10-31-53 2803616 30260 317876 
02-05-2018_10-31-53 2803616 35052 318320 
02-05-2018_10-31-54 2803616 38492 319972 
02-05-2018_10-31-55 2803616 52440 320120 
02-05-2018_10-31-56 2803616 34420 320640 
02-05-2018_10-31-56 2803616 74196 298616 
02-05-2018_10-31-57 2803616 98364 365524 
02-05-2018_10-31-58 2803616 89052 385040 
02-05-2018_10-31-58 2803616 40728 413548 
02-05-2018_10-31-59 2803616 39840 409636 
02-05-2018_10-32-00 2803616 51568 410024 
02-05-2018_10-32-00 2803616 54468 411900 
02-05-2018_10-32-01 2803616 39400 421428 
02-05-2018_10-32-01 2803616 37676 412024 
02-05-2018_10-32-02 2803616 39212 396240 
02-05-2018_10-32-03 2803616 48816 392708 
02-05-2018_10-32-03 2803616 18068 389928 
02-05-2018_10-32-04 2803616 38144 355720 
02-05-2018_10-32-05 2803616 37092 341296 
02-05-2018_10-32-05 2803616 34912 355040 
02-05-2018_10-32-06 2803616 35840 344316 
02-05-2018_10-32-07 2803616 50308 327700 
02-05-2018_10-32-07 2803616 37608 340000 
02-05-2018_10-32-08 2803616 36228 339264 
02-05-2018_10-32-09 2803616 37324 335740 
02-05-2018_10-32-09 2803616 38272 335452 
02-05-2018_10-32-10 2803616 40332 337068 
02-05-2018_10-32-10 2803616 36632 337792 
02-05-2018_10-32-11 2803616 38252 333564 
02-05-2018_10-32-12 2803616 47972 333996 
02-05-2018_10-32-12 2803616 42980 335504 
02-05-2018_10-32-13 2803616 36888 338524 
02-05-2018_10-32-13 2803616 35848 337216 
02-05-2018_10-32-14 2803616 48656 334892 
02-05-2018_10-32-15 2803616 48128 336752 
02-05-2018_10-32-15 2803616 39968 343424 
