------------------------------------------------------------------------------------------
--- Application ANR ---
------------------------------------------------------------------------------------------


------------------------------------------------------------------------------------------
06-05 18:09:06.286  1000  2628  2708 E ActivityManager: ANR in com.google.android.apps.tachyon (com.google.android.apps.tachyon/.MainActivity)
06-05 18:09:06.286  1000  2628  2708 E ActivityManager: PID: 27299
06-05 18:09:06.286  1000  2628  2708 E ActivityManager: Reason: Input dispatching timed out (Waiting to send non-key event because the touched window has not finished processing certain input events that were delivered to it over 500.0ms ago.  Wait queue length: 8.  Wait queue head age: 5651.7ms.)
06-05 18:09:06.286  1000  2628  2708 E ActivityManager: Load: 9.39 / 8.91 / 7.08
06-05 18:09:06.286  1000  2628  2708 E ActivityManager: CPU usage from 0ms to 6328ms later (2018-06-05 18:08:59.896 to 2018-06-05 18:09:06.224):
06-05 18:09:06.286  1000  2628  2708 E ActivityManager:   91% 27299/com.google.android.apps.tachyon: 66% user + 25% kernel / faults: 4564 minor 108 major
06-05 18:09:06.286  1000  2628  2708 E ActivityManager:   43% 2142/mm-qcamera-daemon: 32% user + 11% kernel / faults: 13082 minor
06-05 18:09:06.286  1000  2628  2708 E ActivityManager:   41% 2628/system_server: 25% user + 16% kernel / faults: 4181 minor 66 major
06-05 18:09:06.286  1000  2628  2708 E ActivityManager:   19% 2135/media.codec: 6% user + 13% kernel / faults: 1956 minor 28 major
06-05 18:09:06.286  1000  2628  2708 E ActivityManager:   14% 566/android.hardware.audio@2.0-service: 4.4% user + 9.6% kernel / faults: 102 minor
06-05 18:09:06.286  1000  2628  2708 E ActivityManager:   12% 568/android.hardware.camera.provider@2.4-service: 2.5% user + 9.4% kernel / faults: 13 minor
06-05 18:09:06.286  1000  2628  2708 E ActivityManager:   10% 3373/com.android.systemui: 8.5% user + 2% kernel / faults: 2159 minor 44 major
06-05 18:09:06.286  1000  2628  2708 E ActivityManager:   8.2% 2123/audioserver: 5.5% user + 2.6% kernel / faults: 640 minor 8 major
06-05 18:09:06.286  1000  2628  2708 E ActivityManager:   6.1% 2124/cameraserver: 3.9% user + 2.2% kernel / faults: 575 minor 3 major
06-05 18:09:06.286  1000  2628  2708 E ActivityManager:   5.3% 3545/com.android.phone: 3.9% user + 1.4% kernel / faults: 2011 minor 40 major
