------------------------------------------------------------------------------------------
--- Kernel logs (dmesg) ---
------------------------------------------------------------------------------------------
<3>[14042.141229] DL data not available
<3>[14042.261229] DL data not available
<3>[14042.281241] DL data not available
<3>[14042.301221] DL data not available
<3>[14042.321221] DL data not available
<3>[14042.341228] DL data not available
<3>[14042.361226] DL data not available
<3>[14042.381233] DL data not available
<3>[14042.401231] DL data not available
<3>[14042.421223] DL data not available
<3>[14042.441225] DL data not available
<3>[14042.461225] DL data not available
<3>[14042.481230] DL data not available
<3>[14042.501239] DL data not available
<3>[14042.521228] DL data not available
<3>[14042.541231] DL data not available
<3>[14042.561229] DL data not available
<3>[14042.581233] DL data not available
<3>[14042.601233] DL data not available
<3>[14042.621229] DL data not available
<3>[14042.641232] DL data not available
<3>[14042.661232] DL data not available
<3>[14042.681232] DL data not available
<3>[14042.701224] DL data not available
<3>[14042.721231] DL data not available
<3>[14042.741233] DL data not available
<3>[14042.761230] DL data not available
<3>[14042.781239] DL data not available
<3>[14042.801243] DL data not available
<3>[14042.821230] DL data not available
<3>[14042.841239] DL data not available
<3>[14042.861226] DL data not available
<3>[14042.881228] DL data not available
<3>[14042.901230] DL data not available
<3>[14042.921234] DL data not available
<3>[14042.941225] DL data not available
<3>[14042.961232] DL data not available
<3>[14042.981238] DL data not available
<3>[14043.001239] DL data not available
<3>[14043.021232] DL data not available
<3>[14043.041242] DL data not available
<3>[14043.061229] DL data not available
<3>[14043.081230] DL data not available
<3>[14043.101230] DL data not available
<3>[14043.121239] DL data not available
<3>[14043.141239] DL data not available
<3>[14043.161230] DL data not available
<3>[14043.181229] DL data not available
<3>[14043.201224] DL data not available
<3>[14043.221227] DL data not available
<3>[14043.241229] DL data not available
<3>[14043.261224] DL data not available
<3>[14043.281232] DL data not available
<3>[14043.301229] DL data not available
<3>[14043.321231] DL data not available
<3>[14043.341236] DL data not available
<3>[14043.361230] DL data not available
<3>[14043.381232] DL data not available
<3>[14043.401239] DL data not available
<3>[14043.421234] DL data not available
<3>[14043.441244] DL data not available
<3>[14043.461233] DL data not available
<3>[14043.481241] DL data not available
<3>[14043.501232] DL data not available
<3>[14043.521228] DL data not available
<3>[14043.541228] DL data not available
<3>[14043.561226] DL data not available
<3>[14043.581233] DL data not available
<3>[14043.601243] DL data not available
<3>[14043.621229] DL data not available
<6>[14043.637926] binder: undelivered transaction 3337021, process died.
<3>[14043.641262] DL data not available
<3>[14043.661242] DL data not available
<3>[14043.681324] DL data not available
<3>[14043.701265] DL data not available
<3>[14043.721228] DL data not available
<3>[14043.741225] DL data not available
<3>[14043.761227] DL data not available
<3>[14043.781235] DL data not available
<3>[14043.801234] DL data not available
<3>[14043.821232] DL data not available
<3>[14043.841248] DL data not available
<3>[14043.861232] DL data not available
<3>[14043.881243] DL data not available
<3>[14043.901229] DL data not available
<3>[14043.921229] DL data not available
<3>[14043.941228] DL data not available
<3>[14043.961227] DL data not available
<3>[14043.981224] DL data not available
<3>[14044.001230] DL data not available
<3>[14044.021228] DL data not available
<3>[14044.041242] DL data not available
<3>[14044.061234] DL data not available
<3>[14044.081230] DL data not available
<3>[14044.101229] DL data not available
<3>[14044.121265] DL data not available
<3>[14044.141226] DL data not available
<3>[14044.161227] DL data not available
<3>[14044.181238] DL data not available
<3>[14044.201233] DL data not available
<3>[14044.221237] DL data not available
<3>[14044.241233] DL data not available
<3>[14044.261227] DL data not available
<3>[14044.281232] DL data not available
<3>[14044.301228] DL data not available
<3>[14044.321230] DL data not available
<3>[14044.341243] DL data not available
<3>[14044.361226] DL data not available
<3>[14044.381237] DL data not available
<3>[14044.401237] DL data not available
<3>[14044.421230] DL data not available
<3>[14044.441233] DL data not available
<3>[14044.461229] DL data not available
<3>[14044.481242] DL data not available
<3>[14044.501242] DL data not available
<3>[14044.521231] DL data not available
<3>[14044.541222] DL data not available
<3>[14044.561224] DL data not available
<3>[14044.581230] DL data not available
<3>[14044.601230] DL data not available
<3>[14044.621232] DL data not available
<3>[14044.641228] DL data not available
<3>[14044.661222] DL data not available
<3>[14044.681234] DL data not available
<3>[14044.701231] DL data not available
<3>[14044.721232] DL data not available
<3>[14044.741225] DL data not available
<3>[14044.761237] DL data not available
<3>[14044.781232] DL data not available
<3>[14044.801230] DL data not available
<3>[14044.821226] DL data not available
<3>[14044.841231] DL data not available
<3>[14044.861226] DL data not available
<3>[14044.881233] DL data not available
<3>[14044.901234] DL data not available
<3>[14044.921232] DL data not available
<3>[14044.941233] DL data not available
<3>[14044.961230] DL data not available
<3>[14044.981269] DL data not available
<3>[14045.001230] DL data not available
<3>[14045.021231] DL data not available
<3>[14045.041232] DL data not available
<3>[14045.061233] DL data not available
<3>[14045.081235] DL data not available
<3>[14045.101404] DL data not available
<3>[14045.121239] DL data not available
<3>[14045.141383] DL data not available
<3>[14045.161346] DL data not available
<3>[14045.181355] DL data not available
<3>[14045.201400] DL data not available
<3>[14045.221263] DL data not available
<3>[14045.241346] DL data not available
<3>[14045.261379] DL data not available
<3>[14045.281358] DL data not available
<3>[14045.301376] DL data not available
<3>[14045.321248] DL data not available
<3>[14045.341241] DL data not available
<3>[14045.361388] DL data not available
<3>[14045.381309] DL data not available
<3>[14045.401247] DL data not available
<3>[14045.421340] DL data not available
<3>[14045.441509] DL data not available
<3>[14045.461361] DL data not available
<3>[14045.481372] DL data not available
<3>[14045.501364] DL data not available
<3>[14045.521339] DL data not available
<3>[14045.541345] DL data not available
<3>[14045.561350] DL data not available
<3>[14045.581343] DL data not available
<3>[14045.601335] DL data not available
<3>[14045.621372] DL data not available
<3>[14045.641344] DL data not available
<3>[14045.661389] DL data not available
<3>[14045.681267] DL data not available
<3>[14045.701356] DL data not available
<3>[14045.721355] DL data not available
<3>[14045.741353] DL data not available
<3>[14045.761359] DL data not available
<3>[14045.781349] DL data not available
<3>[14045.801366] DL data not available
<3>[14045.821278] DL data not available
<3>[14045.841361] DL data not available
<3>[14045.861331] DL data not available
<3>[14045.881479] DL data not available
<3>[14045.901430] DL data not available
<3>[14045.921246] DL data not available
<3>[14045.941331] DL data not available
<3>[14045.961348] DL data not available
<3>[14045.981360] DL data not available
<3>[14046.001369] DL data not available
<3>[14046.021343] DL data not available
<3>[14046.041370] DL data not available
<3>[14046.061350] DL data not available
<3>[14046.081345] DL data not available
<3>[14046.101241] DL data not available
<3>[14046.121361] DL data not available
<3>[14046.141346] DL data not available
<3>[14046.161351] DL data not available
<3>[14046.181405] DL data not available
<3>[14046.201338] DL data not available
<3>[14046.221418] DL data not available
<3>[14046.241374] DL data not available
<3>[14046.261432] DL data not available
<3>[14046.281364] DL data not available
<3>[14046.301387] DL data not available
<3>[14046.321364] DL data not available
<3>[14046.341236] DL data not available
<3>[14046.361364] DL data not available
<3>[14046.381352] DL data not available
<3>[14046.401370] DL data not available
<3>[14046.421348] DL data not available
<3>[14046.441245] DL data not available
<3>[14046.461346] DL data not available
<3>[14046.481359] DL data not available
<3>[14046.501358] DL data not available
<3>[14046.521408] DL data not available
<3>[14046.541362] DL data not available
<3>[14046.561406] DL data not available
<3>[14046.581366] DL data not available
<3>[14046.601402] DL data not available
<3>[14046.621441] DL data not available
<3>[14046.641368] DL data not available
<3>[14046.661385] DL data not available
<3>[14046.681383] DL data not available
<3>[14046.701245] DL data not available
<3>[14046.721310] DL data not available
<3>[14046.741255] DL data not available
<3>[14046.761243] DL data not available
<3>[14046.781411] DL data not available
<3>[14046.801409] DL data not available
<3>[14046.821354] DL data not available
<3>[14046.841357] DL data not available
<3>[14046.861309] DL data not available
<3>[14046.881406] DL data not available
<3>[14046.901332] DL data not available
<3>[14046.921338] DL data not available
<3>[14046.941363] DL data not available
<3>[14046.961245] DL data not available
<3>[14046.981260] DL data not available
<3>[14047.001361] DL data not available
<3>[14047.021345] DL data not available
<3>[14047.041360] DL data not available
<3>[14047.061397] DL data not available
<3>[14047.081343] DL data not available
<3>[14047.101377] DL data not available
<3>[14047.121354] DL data not available
<3>[14047.141389] DL data not available
<3>[14047.161355] DL data not available
<3>[14047.181350] DL data not available
<3>[14047.201271] DL data not available
<3>[14047.221350] DL data not available
<3>[14047.241353] DL data not available
<3>[14047.261362] DL data not available
<3>[14047.281239] DL data not available
<3>[14047.301452] DL data not available
<3>[14047.321360] DL data not available
<3>[14047.341246] DL data not available
<3>[14047.361357] DL data not available
<3>[14047.381382] DL data not available
<3>[14047.401302] DL data not available
<3>[14047.421276] DL data not available
<3>[14047.441295] DL data not available
<3>[14047.461262] DL data not available
<3>[14047.481296] DL data not available
<3>[14047.501277] DL data not available
<3>[14047.521250] DL data not available
<3>[14047.541266] DL data not available
<3>[14047.561263] DL data not available
<3>[14047.581270] DL data not available
<3>[14047.601292] DL data not available
<3>[14047.621255] DL data not available
<3>[14047.641259] DL data not available
<3>[14047.661414] DL data not available
<3>[14047.681397] DL data not available
<3>[14047.701342] DL data not available
<3>[14047.721366] DL data not available
<3>[14047.741287] DL data not available
<3>[14047.761415] DL data not available
<3>[14047.781348] DL data not available
<3>[14047.801377] DL data not available
<3>[14047.821439] DL data not available
<3>[14047.841430] DL data not available
<3>[14047.861391] DL data not available
<3>[14047.881264] DL data not available
<3>[14047.901428] DL data not available
<3>[14047.921370] DL data not available
